COUNTRY,LT_MONTH,TOTAL_USERS
BR,2025-08-01,1092.0
BR,2025-09-01,1017.0
BR,2025-10-01,996.0
BR,2025-11-01,966.0
BR,2025-12-01,889.0
BR,2026-01-01,867.0
BR,2026-02-01,863.0
BR,2026-03-01,898.0
BR,2026-04-01,886.0
BR,2026-05-01,937.0
BR,2026-06-01,896.611685978126
BR,2026-07-01,924.4432441683882
BR,2026-08-01,919.9167171034916
BR,2026-09-01,882.0477547840931
BR,2026-10-01,909.8531397798063
BR,2026-11-01,873.3924976834163
BR,2026-12-01,894.9648553672447
BR,2027-01-01,891.3509534383563
BR,2027-02-01,791.9910234021418
BR,2027-03-01,860.7873110471828
BR,2027-04-01,823.4551899785135
BR,2027-05-01,835.2121100269678
BR,2027-06-01,791.4952096445198
BR,2027-07-01,804.6891457077023
BR,2027-08-01,785.5243980742525
BR,2027-09-01,742.7853676862014
BR,2027-10-01,756.8579350383087
BR,2027-11-01,710.8107470328013
BR,2027-12-01,715.1164713207635
BR,2028-01-01,692.1964058736069
BR,2028-02-01,628.0579554767221
BR,2028-03-01,644.4263491655176
BR,2028-04-01,605.1078016257687
BR,2028-05-01,605.9584375742268
BR,2028-06-01,570.5303577351132
BR,2028-07-01,575.3017486831368
BR,2028-08-01,564.4297066571155
BR,2028-09-01,538.3290307537313
BR,2028-10-01,543.1914216728205
BR,2028-11-01,517.9777265316288
BR,2028-12-01,532.1709638442474
BR,2029-01-01,513.8490648840668
BR,2029-02-01,453.51830251509915
BR,2029-03-01,495.10351723895474
BR,2029-04-01,473.3054949644552
BR,2029-05-01,483.35753309888946
BR,2029-06-01,464.3865830403313
BR,2029-07-01,471.5482970688204
BR,2029-08-01,466.2755475999432
BR,2029-09-01,447.1189409723829
BR,2029-10-01,453.6947143090929
BR,2029-11-01,435.73521870410843
BR,2029-12-01,445.4465064731321
BR,2030-01-01,436.8803594828877
BR,2030-02-01,390.4619796301843
BR,2030-03-01,430.9219241005911
BR,2030-04-01,411.94197302987675
BR,2030-05-01,424.45853082276165
BR,2030-06-01,409.1973963587552
BR,2030-07-01,418.6066344119462
BR,2030-08-01,418.237177091891
BR,2030-09-01,401.224135013059
BR,2030-10-01,412.52629919778724
BR,2030-11-01,399.84020330340707
BR,2030-12-01,409.34179138836924
CL,2018-05-01,1803.0
CL,2018-06-01,474640.0
CL,2018-07-01,6133806.0
CL,2018-08-01,12497946.0
CL,2018-09-01,16487082.0
CL,2018-10-01,26057407.0
CL,2018-11-01,34220941.0
CL,2018-12-01,26271063.0
CL,2019-01-01,32910609.0
